----------mesures----------
2784
temps,X,Y
34.291667,239.603822,243.149257
34.333333,254.214871,243.697122
34.375000,270.080198,243.825134
34.416667,286.415017,243.479167
34.458333,303.384679,242.867495
34.500000,320.089552,241.472015
34.541667,336.241774,239.911711
34.583333,351.720082,238.045902
34.625000,365.748068,235.924563
34.666667,378.979691,233.799350
34.708333,389.887194,231.673625
34.750000,399.826588,229.809187
34.791667,406.588318,228.213843
34.833333,411.802910,227.255281
34.875000,414.426371,226.650460
34.916667,414.876227,226.648908
34.958333,412.938751,227.367900
35.000000,408.841011,228.578679
35.041667,402.584281,230.144364
35.083333,394.234185,232.072476
35.125000,383.785414,234.219420
35.166667,372.006981,236.584303
35.208333,358.442644,238.885714
35.250000,344.224297,240.700794
35.291667,328.858230,242.510111
35.333333,312.884624,243.822246
35.375000,296.580546,244.911312
35.416667,280.612903,245.239505
35.458333,265.098157,245.199423
35.500000,250.609406,244.646361
35.541667,236.772932,244.026304
35.583333,224.207868,243.055878
35.625000,212.160513,241.908910
35.666667,202.564114,240.675348
35.708333,194.725060,239.760798
35.750000,188.646917,238.755794
35.791667,184.570871,237.890767
35.833333,182.338696,237.717289
35.875000,182.366010,237.755351
35.916667,188.671055,238.460395
35.958333,195.003581,239.303771
36.000000,203.091674,240.397393
36.041667,213.178795,241.281681
36.083333,224.931152,242.356141
36.125000,238.448881,243.160360
36.166667,252.870913,243.537439
36.208333,268.076406,243.657641
36.250000,284.146849,243.447899
36.291667,300.153878,242.948294
36.333333,316.399836,241.741379
36.375000,332.343692,240.312410
36.416667,347.329052,238.613456
36.458333,361.239723,236.837200
36.500000,373.596064,234.693650
36.541667,384.928470,232.791895
36.583333,394.294417,231.210065
36.625000,401.515243,229.741167
36.666667,406.782591,228.620094
36.708333,409.588223,228.047754
36.750000,410.372967,228.054065
36.791667,409.078279,228.520287
36.833333,405.193959,229.546538
36.875000,399.559950,231.037874
36.916667,391.697440,232.703315
36.958333,382.372785,234.774895
37.000000,370.772046,236.811002
37.041667,357.922039,238.896123
37.083333,344.322158,240.812379
37.125000,329.641387,242.437270
37.166667,314.439051,243.949045
37.208333,298.779792,244.741101
37.250000,283.319832,245.248119
37.291667,268.418925,245.226788
37.333333,254.000000,244.752724
37.375000,240.394819,244.141804
37.416667,227.498346,243.359427
37.458333,216.308574,242.243994
37.500000,206.644034,241.210723
37.541667,198.473511,240.160026
37.583333,192.611269,239.197423
37.625000,187.903747,238.577950
37.666667,185.852003,238.092525
37.708333,185.532764,238.028815
37.750000,187.271828,238.264044
37.791667,191.225474,238.778737
37.833333,196.964136,239.454488
37.875000,204.565437,240.475026
37.916667,214.300774,241.379628
37.958333,225.570707,242.243056
38.000000,238.477325,242.981191
38.041667,252.221168,243.558929
38.083333,266.940993,243.839601
38.125000,282.124041,243.601120
38.166667,297.768627,243.076780
38.208333,313.761748,242.178071
38.250000,329.021224,240.762003
38.291667,343.705665,239.292693
38.333333,357.167315,237.550891
38.375000,369.757975,235.623173
38.416667,380.741263,233.952177
38.458333,389.712056,232.331485
38.500000,397.169796,230.848776
